time,state,accel,vel,alt,roll,s1,s2,s3,ax,ay,az,gx,gy,gz,baro,temp
1984,1,0.9595947,0.1145262,36.076107,-0.30517578,90,90,90,-0.040405273,-0.16088867,0.99157715,-0.30517578,0.42724606,-0.122070305,36.285934,27.387838
2046,1,0.9604492,0.1162474,36.085163,-0.30517578,90,90,90,-0.03955078,-0.16210938,0.9914551,-0.30517578,0.42724606,-0.18310545,36.25725,27.367695
2108,1,0.9576416,0.11367425,36.089306,-0.30517578,90,90,90,-0.0423584,-0.16027832,0.99108887,-0.30517578,0.3662109,-0.122070305,36.169292,27.387838
2170,1,0.958374,0.10974826,36.09148,-0.3662109,90,90,90,-0.041625977,-0.15917969,0.99108887,-0.3662109,0.42724606,-0.122070305,36.134872,27.387838
2232,1,0.95947266,0.10411069,36.091045,-0.42724606,90,90,90,-0.040527344,-0.16149902,0.99072266,-0.42724606,0.3662109,0.0,36.08197,27.387838
2294,1,0.95874023,0.09596713,36.086777,-0.42724606,90,90,90,-0.041259766,-0.15966797,0.9916992,-0.42724606,0.42724606,-0.18310545,35.99401,27.387838
2356,1,0.9572754,0.09397874,36.090073,-0.24414061,90,90,90,-0.04272461,-0.16247559,0.9909668,-0.24414061,0.3662109,-0.061035153,36.163555,27.367695
2418,1,0.9597168,0.10157143,36.10642,-0.24414061,90,90,90,-0.040283203,-0.16064453,0.9926758,-0.24414061,0.3662109,-0.061035153,36.48162,27.387838
2480,1,0.9588623,0.093879804,36.101933,-0.3662109,90,90,90,-0.041137695,-0.16088867,0.99072266,-0.3662109,0.3662109,-0.122070305,36.002296,27.387838
2542,1,0.96069336,0.08372194,36.09336,-0.30517578,90,90,90,-0.03930664,-0.1607666,0.9909668,-0.30517578,0.30517578,-0.061035153,35.898403,27.387838
2604,1,0.9589844,0.073178306,36.083622,-0.3662109,90,90,90,-0.041015625,-0.16308594,0.9901123,-0.3662109,0.3662109,-0.122070305,35.861435,27.387838
2666,1,0.9589844,0.072461866,36.087147,-0.3662109,90,90,90,-0.041015625,-0.15820312,0.99157715,-0.3662109,0.42724606,-0.061035153,36.16738,27.387838
2728,1,0.95861816,0.07079177,36.089184,-0.30517578,90,90,90,-0.041381836,-0.16210938,0.9916992,-0.30517578,0.3662109,0.0,36.136787,27.387838
2790,1,0.95996094,0.0633956,36.082325,-0.30517578,90,90,90,-0.040039062,-0.16015625,0.99316406,-0.30517578,0.42724606,-0.122070305,35.91689,27.39791
2852,1,0.9581299,0.05748881,36.07722,-0.30517578,90,90,90,-0.041870117,-0.16040039,0.993042,-0.30517578,0.3662109,-0.122070305,35.95322,27.387838
2914,1,0.9580078,0.063154966,36.089558,-0.30517578,90,90,90,-0.041992188,-0.15979004,0.9914551,-0.30517578,0.3662109,-0.061035153,36.393658,27.39791
2976,1,0.9584961,0.057761334,36.08502,-0.3662109,90,90,90,-0.041503906,-0.16235352,0.99194336,-0.3662109,0.3662109,-0.122070305,35.97553,27.39791
3038,1,0.9580078,0.06050277,36.092953,-0.3662109,90,90,90,-0.041992188,-0.16003418,0.99108887,-0.3662109,0.42724606,-0.122070305,36.28785,27.39791
3100,1,0.9592285,0.05611317,36.089558,-0.30517578,90,90,90,-0.040771484,-0.16064453,0.99194336,-0.30517578,0.42724606,-0.061035153,36.006123,27.39791
3162,1,0.9580078,0.058318947,36.096684,-0.3662109,90,90,90,-0.041992188,-0.1607666,0.99121094,-0.3662109,0.3662109,-0.061035153,36.275738,27.39791
3224,1,0.95983887,0.057462364,36.098846,-0.30517578,90,90,90,-0.040161133,-0.16088867,0.9909668,-0.30517578,0.42724606,-0.122070305,36.15336,27.39791
3286,1,0.9593506,0.05670619,36.101086,-0.30517578,90,90,90,-0.040649414,-0.16003418,0.99072266,-0.30517578,0.3662109,-0.122070305,36.159096,27.39791
3348,1,0.9584961,0.05105699,36.094406,-0.3662109,90,90,90,-0.041503906,-0.16040039,0.9926758,-0.3662109,0.42724606,0.0,35.91689,27.387838
3410,1,0.958374,0.0547766,36.1043,-0.3662109,90,90,90,-0.041625977,-0.16003418,0.9925537,-0.3662109,0.42724606,0.0,36.367523,27.387838
3472,1,0.95947266,0.057019677,36.11181,-0.30517578,90,90,90,-0.040527344,-0.16040039,0.9921875,-0.30517578,0.3662109,-0.061035153,36.308247,27.39791
3534,1,0.9589844,0.059933987,36.120796,-0.3662109,90,90,90,-0.041015625,-0.15893555,0.9914551,-0.3662109,0.3662109,-0.061035153,36.35541,27.39791
3596,1,0.95739746,0.06017866,36.124977,-0.3662109,90,90,90,-0.04260254,-0.16113281,0.9908447,-0.3662109,0.3662109,-0.122070305,36.233032,27.39791
3658,1,0.95910645,0.05823384,36.124897,-0.24414061,90,90,90,-0.040893555,-0.16015625,0.9921875,-0.24414061,0.30517578,-0.18310545,36.122765,27.40798
3720,1,0.95825195,0.05898715,36.130013,-0.30517578,90,90,90,-0.041748047,-0.1607666,0.99072266,-0.30517578,0.42724606,-0.061035153,36.269363,27.39791
3782,1,0.95788574,0.05840158,36.13247,-0.3662109,90,90,90,-0.042114258,-0.16088867,0.99121094,-0.3662109,0.3662109,-0.061035153,36.199886,27.39791
3844,1,0.95874023,0.056448825,36.13198,-0.30517578,90,90,90,-0.041259766,-0.16125488,0.9923096,-0.30517578,0.3662109,-0.061035153,36.1183,27.367695
3906,1,0.9597168,0.061160263,36.145557,-0.30517578,90,90,90,-0.040283203,-0.16235352,0.9920654,-0.30517578,0.3662109,-0.061035153,36.538986,27.39791
3968,1,0.9595947,0.062370714,36.15193,-0.24414061,90,90,90,-0.040405273,-0.16064453,0.99316406,-0.24414061,0.42724606,-0.061035153,36.328644,27.39791
4030,1,0.95825195,0.060617857,36.15198,-0.30517578,90,90,90,-0.041748047,-0.15979004,0.9888916,-0.30517578,0.3662109,-0.122070305,36.15336,27.39791
4092,1,0.9592285,0.0618205,36.1584,-0.122070305,90,90,90,-0.040771484,-0.16235352,0.99035645,-0.122070305,0.3662109,-0.122070305,36.342667,27.39791
4154,1,0.95861816,0.061325565,36.161118,-0.3662109,90,90,90,-0.041381836,-0.16040039,0.99108887,-0.3662109,0.3662109,-0.18310545,36.23877,27.39791
4216,1,0.9592285,0.061884105,36.16621,-0.3662109,90,90,90,-0.040771484,-0.16064453,0.9918213,-0.3662109,0.42724606,-0.061035153,36.31462,27.39791
4278,1,0.9593506,0.059937365,36.165447,-0.30517578,90,90,90,-0.040649414,-0.16040039,0.9925537,-0.30517578,0.3662109,-0.061035153,36.143158,27.39791
4340,1,0.95861816,0.053907655,36.15475,-0.3662109,90,90,90,-0.041381836,-0.16125488,0.991333,-0.3662109,0.42724606,-0.061035153,35.832756,27.367695
4402,1,0.95874023,0.055138282,36.16098,-0.30517578,90,90,90,-0.041259766,-0.16088867,0.99157715,-0.30517578,0.42724606,-0.061035153,36.342667,27.39791
4464,1,0.9593506,0.052036926,36.156998,-0.30517578,90,90,90,-0.040649414,-0.1616211,0.99121094,-0.30517578,0.42724606,-0.061035153,36.041176,27.39791
4526,1,0.95910645,0.05145382,36.15883,-0.24414061,90,90,90,-0.040893555,-0.16064453,0.9920654,-0.24414061,0.42724606,-0.061035153,36.212635,27.40798
4588,1,0.95983887,0.049453992,36.15713,-0.30517578,90,90,90,-0.040161133,-0.16186523,0.98999023,-0.30517578,0.30517578,-0.061035153,36.10619,27.39791
4650,1,0.95874023,0.048139043,36.15695,-0.3662109,90,90,90,-0.041259766,-0.16064453,0.99121094,-0.3662109,0.42724606,-0.122070305,36.151447,27.40798
4712,1,0.95861816,0.04782315,36.159145,-0.30517578,90,90,90,-0.041381836,-0.16149902,0.991333,-0.30517578,0.3662109,-0.061035153,36.22857,27.40798
